"flight_date","records_count"
"2021-12-19","27036"
"2021-12-20","25330"
"2021-12-21","22763"
"2021-12-22","24371"
"2021-12-23","26351"
"2021-12-24","33488"
"2021-12-25","30815"
"2021-12-26","35380"
"2021-12-27","127"
"2021-12-28","28617"
"2021-12-29","33325"
"2021-12-30","32935"
"2021-12-31","23673"
"2022-01-01","1868"
"2022-01-02","68433"
"2022-01-03","71798"
"2022-01-04","60086"
"2022-01-05","65446"
"2022-01-06","64029"
"2022-01-07","75511"
"2022-01-08","68666"
"2022-01-09","73530"
"2022-01-10","29540"
"2022-01-11","53395"
"2022-01-12","40429"
"2022-01-13","29299"
"2022-01-14","34332"
"2022-01-15","24875"
"2022-01-16","56945"
"2022-01-17","50197"
"2022-01-18","44459"
"2022-01-19","48273"
"2022-01-20","47996"
"2022-01-21","60713"
"2022-01-22","51796"
"2022-01-23","57171"
"2022-01-24","51745"
"2022-01-25","45143"
"2022-01-26","47773"
"2022-01-27","23717"
"2022-01-28","30076"
"2022-01-29","51886"
"2022-01-30","58214"
"2022-01-31","28671"
"2022-02-01","28165"
"2022-02-02","27268"
"2022-02-03","26458"
"2022-02-04","32004"
"2022-02-05","27018"
"2022-02-06","30723"
"2022-02-07","28297"
"2022-02-08","24769"
"2022-02-09","26280"
"2022-02-10","26055"
"2022-02-11","32760"
"2022-02-12","42466"
"2022-02-13","107094"
"2022-02-14","64371"
"2022-02-15","47317"
"2022-02-16","38446"
"2022-02-17","42011"
"2022-02-18","64046"
"2022-02-19","57045"
"2022-02-20","61827"
"2022-02-21","24662"
"2022-02-22","39044"
"2022-02-23","39524"
"2022-02-24","32128"
"2022-02-25","52115"
"2022-02-26","26853"
"2022-02-27","66247"
"2022-02-28","89848"
"2022-03-01","61377"
"2022-03-02","67053"
"2022-03-03","66139"
"2022-03-04","77416"
"2022-03-05","64483"
"2022-03-06","70229"
"2022-03-07","66419"
"2022-03-08","62134"
"2022-03-09","161743"
"2022-03-12","35084"
"2022-03-13","39277"
"2022-03-14","36176"
"2022-03-15","33093"
"2022-03-16","36206"
"2022-03-17","35272"
"2022-03-18","39438"
"2022-03-19","35270"
"2022-03-20","39700"
"2022-03-21","37912"
"2022-03-22","31184"
"2022-03-23","34269"
"2022-03-24","33859"
"2022-03-25","40088"
"2022-03-26","34296"
"2022-03-27","35838"
"2022-04-08","37974"
"2022-04-09","37070"
"2022-04-10","41303"
"2022-04-11","74144"
"2022-04-12","36269"
"2022-04-13","37450"
"2022-04-14","37438"
"2022-04-15","42525"
"2022-04-16","38476"
"2022-04-17","42310"
"2022-04-18","40452"
"2022-04-19","36994"
"2022-04-20","180502"
"2022-06-03","321"
"2022-06-04","2913"
"2022-06-05","1790"
"2022-06-09","50"
"2022-06-10","41511"
"2022-06-11","41564"
"2022-06-12","42949"
"2022-06-14","1"
"2022-06-15","1738"
"2022-06-16","39674"
"2022-06-17","43124"
"2022-06-19","42363"
"2022-06-20","42544"
"2022-06-21","40139"
"2022-06-22","42234"
"2022-06-23","39551"
"2022-06-24","42108"
"2022-06-25","41184"
"2022-06-26","43720"
"2022-06-27","42218"
"2022-06-28","42336"
"2022-06-29","35518"
"2022-06-30","34"
"2022-07-01","475"
"2022-07-02","49727"
"2022-07-03","48752"
"2022-07-04","44063"
"2022-07-05","43002"
"2022-07-06","43777"
"2022-07-07","41913"
"2022-07-08","46698"
"2022-07-09","48022"
"2022-07-10","49484"
"2022-07-11","46947"
"2022-07-12","48618"
"2022-07-13","47976"
"2022-07-14","40655"
"2022-07-15","46972"
"2022-07-16","48233"
"2022-07-17","48596"
"2022-07-18","2691"
"2022-07-19","13255"
"2022-07-20","3232"
"2022-07-21","25"
"2022-07-22","468"
"2022-07-23","7267"
"2022-07-24","5336"
"2022-07-25","1619"
"2022-07-26","3925"
"2022-07-27","2567"
"2022-07-29","14010"
"2022-07-30","48612"
"2022-07-31","62886"
"2022-08-01","97273"
"2022-08-02","48930"
"2022-08-03","48963"
"2022-08-04","44676"
"2022-08-05","50387"
"2022-08-06","49772"
"2022-08-07","51902"
"2022-08-08","50116"
"2022-08-09","49514"
"2022-08-10","191277"
"2022-08-11","107"
"2022-08-12","950"
"2022-08-13","7170"
"2022-08-14","3252"
"2022-08-15","1090"
"2022-08-16","4443"
"2022-08-17","1828"
"2022-08-18","45"
"2022-08-23","222"
"2022-08-24","570"
"2022-08-26","761"
"2022-08-28","2437"
"2022-08-30","1512"
"2022-09-03","3644"
"2022-09-04","2653"
"2022-09-10","3410"
"2022-09-11","2490"
"2022-09-12","1511"
"2022-09-13","4175"
"2022-09-14","1934"
"2022-09-15","25"
"2022-09-16","318"
"2022-09-17","3707"
"2022-09-18","2781"
"2022-09-19","1280"
"2022-09-20","4414"
"2022-09-21","1431"
"2022-09-22","35"
"2022-09-23","479"
"2022-09-24","3427"
"2022-09-25","2387"
"2022-09-26","895"
"2022-09-27","4432"
"2022-09-28","1750"
"2022-12-01","1"
"2022-12-02","58"
"2022-12-03","511"
"2022-12-08","14"
"2022-12-13","154"
"2022-12-16","108"
"2022-12-18","270"
"2022-12-24","1"
"2022-12-25","402"
"2022-12-31","1069"
"2023-01-01","453"
"2023-01-02","458"
"2023-01-03","1312"
"2023-01-04","288"
"2023-01-05","18"
"2023-01-06","72"
"2023-01-07","721"
"2023-01-08","650"
"2023-01-09","272"
"2023-01-10","1557"
"2023-01-11","480"
"2023-01-12","6"
"2023-01-13","76"
"2023-01-14","615"
"2023-01-15","508"
"2023-01-16","389"
"2023-01-17","1239"
"2023-01-18","223"
"2023-02-03","18"
"2023-02-04","128"
"2023-02-07","329"
"2023-02-08","42"
"2023-02-10","8"
"2023-02-11","167"
"2023-02-14","141"
"2023-02-15","118"
"2023-02-25","57"
"2023-03-03","2131"
"2023-03-04","2786"
"2023-03-05","128"
"2023-03-07","103"
"2023-03-08","90"
"2023-03-26","71420"
"2023-03-27","157442"
"2023-03-29","68930"
"2023-03-30","138594"
"2023-03-31","109851"
"2023-04-01","125979"
"2023-04-02","95072"
"2023-04-03","135448"
"2023-04-04","102533"
"2023-04-05","133"
"2023-04-06","37206"
"2023-04-07","137505"
"2023-04-08","193565"
"2023-04-09","156785"
"2023-04-10","83083"
"2023-04-11","76310"
"2023-04-12","82957"
"2023-04-13","73696"
"2023-04-14","92534"
"2023-04-15","166"
"2023-04-17","73767"
"2023-04-18","42488"
"2023-04-19","48840"
"2023-04-20","69874"
"2023-04-21","111039"
"2023-04-22","183909"
"2023-04-23","117447"
"2023-04-24","76429"
"2023-04-25","45363"
"2023-04-28","63415"
"2023-04-29","153864"
"2023-04-30","120259"
"2023-05-01","122073"
"2023-05-02","98747"
"2023-05-03","111812"
"2023-05-04","42655"
"2023-05-05","115235"
"2023-05-06","142893"
"2023-05-07","118491"
"2023-05-08","125968"
"2023-05-09","95822"
"2023-05-10","113730"
"2023-05-11","59300"
"2023-05-12","138839"
"2023-05-13","89279"
"2023-05-14","65828"
"2023-05-15","27910"
"2023-05-19","23653"
"2023-05-20","7867"
"2023-05-21","19997"
"2023-05-22","45417"
"2023-05-23","13867"
"2023-05-24","7883"
"2023-05-25","1502"
"2023-05-26","682"
"2023-05-27","1562"
"2023-05-28","803"
"2023-05-29","2219"
"2023-05-30","1866"
"2023-05-31","1824"
"2023-06-01","22576"
"2023-06-02","1940"
"2023-06-03","2094"
"2023-06-04","3481"
"2023-06-05","3854"
"2023-06-06","21090"
"2023-06-07","52718"
"2023-06-08","40296"
"2023-06-09","53419"
"2023-06-10","37624"
"2023-06-11","48054"
"2023-06-12","83446"
"2023-06-13","42327"
"2023-06-14","36401"
"2023-06-15","37773"
"2023-06-16","28799"
"2023-06-17","26026"
"2023-06-18","25693"
"2023-06-19","22825"
"2023-06-20","57738"
"2023-06-21","88332"
"2023-06-22","79091"
"2023-06-23","80662"
"2023-06-24","53190"
"2023-06-25","50836"
"2023-06-26","72502"
"2023-06-27","65457"
"2023-06-28","78803"
"2023-06-29","75425"
"2023-06-30","65361"
"2023-07-01","39895"
"2023-07-02","38627"
"2023-07-03","64673"
"2023-07-04","56583"
"2023-07-05","46858"
"2023-07-06","64889"
"2023-07-07","83023"
"2023-07-08","55055"
"2023-07-09","41842"
"2023-07-10","160610"
"2023-07-11","167863"
"2023-07-12","175042"
"2023-07-13","138257"
"2023-07-14","163330"
"2023-07-15","151406"
"2023-07-16","145129"
"2023-07-17","178122"
"2023-07-18","163329"
"2023-07-19","149147"
"2023-07-20","174037"
"2023-07-21","169445"
"2023-07-22","162302"
"2023-07-23","154487"
"2023-07-24","256567"
"2023-07-25","264922"
"2023-07-26","257393"
"2023-07-27","231295"
"2023-07-28","261749"
"2023-07-29","260606"
"2023-07-30","260244"
"2023-07-31","259670"
"2023-08-01","282872"
"2023-08-02","265812"
"2023-08-03","273901"
"2023-08-04","243787"
"2023-08-05","135613"
"2023-08-06","139838"
"2023-08-07","222302"
"2023-08-08","143945"
"2023-08-09","135504"
"2023-08-10","128609"
"2023-08-11","131614"
"2023-08-12","128430"
"2023-08-13","130238"
"2023-08-14","128232"
"2023-08-15","131434"
"2023-08-16","130776"
"2023-08-17","139301"
"2023-08-18","97199"
"2023-08-21","56637"
"2023-10-06","29322"
"2023-10-09","31239"
"2025-02-20","2536"
"2025-02-21","36389"
"2025-02-22","24595"
"2025-02-23","32565"
"2025-02-24","30348"
"2025-02-25","26431"
"2025-02-26","24773"
"2025-02-27","29347"
"2025-02-28","7853"
"2025-03-06","9496"
"2025-03-07","19660"
"2025-03-10","5489"
"2025-03-11","5791"
"2025-03-12","17632"
"2025-03-13","16110"
"2025-03-14","95783"
"2025-03-15","107246"
"2025-03-16","118985"
"2025-03-17","93082"
"2025-03-18","69177"
"2025-03-19","95705"
"2025-03-20","118030"
"2025-03-21","54673"
"2025-03-22","31096"
"2025-03-23","32632"
"2025-03-24","25185"
"2025-03-25","28200"
"2025-03-26","29982"
"2025-03-27","68010"
"2025-03-28","73688"
"2025-03-29","35406"
"2025-03-30","25039"
"2025-03-31","65290"
"2025-04-01","55549"
"2025-04-02","68848"
"2025-04-03","49429"
"2025-04-04","140065"
"2025-04-05","177166"
"2025-04-06","180425"
"2025-04-07","90714"
"2025-04-08","62008"
"2025-04-09","119703"
"2025-04-10","157568"
"2025-04-11","103104"
"2025-04-12","83873"
"2025-04-13","82711"
"2025-04-14","71833"
"2025-04-15","74526"
"2025-04-16","75783"
"2025-04-17","111650"
"2025-04-18","111316"
"2025-04-19","72800"
"2025-04-20","48466"
"2025-04-21","102197"
"2025-04-22","102069"
"2025-04-23","104706"
"2025-04-24","92565"
"2025-04-25","175463"
"2025-04-26","208449"
"2025-04-27","191866"
"2025-04-28","87177"
"2025-04-29","58734"
"2025-04-30","120826"
"2025-05-01","169706"
"2025-05-02","96468"
"2025-05-03","76440"
"2025-05-04","75629"
"2025-05-05","64406"
"2025-05-06","64715"
"2025-05-07","65562"
"2025-05-08","98942"
"2025-05-09","97708"
"2025-05-10","62593"
"2025-05-11","44049"
"2025-05-12","93025"
"2025-05-13","93075"
"2025-05-14","99978"
"2025-05-15","84416"
"2025-05-16","158447"
"2025-05-17","183189"
"2025-05-18","166770"
"2025-05-19","73493"
"2025-05-20","49588"
"2025-05-21","96112"
"2025-05-22","122691"
"2025-05-23","84933"
"2025-05-24","69839"
"2025-05-25","66736"
"2025-05-26","59807"
"2025-05-27","58718"
"2025-05-28","61682"
"2025-05-29","87177"
"2025-05-30","90998"
"2025-05-31","62811"
"2025-06-01","45089"
"2025-06-02","89986"
"2025-06-03","89316"
"2025-06-04","91774"
"2025-06-05","68439"
"2025-06-06","84364"
"2025-06-07","117955"
"2025-06-08","92860"
"2025-06-09","12168"
"2025-06-11","36201"
"2025-06-12","64805"
"2025-06-13","70429"
"2025-06-14","66756"
"2025-06-15","66408"
"2025-06-16","61054"
"2025-06-17","56925"
"2025-06-18","58581"
"2025-06-19","57807"
"2025-06-20","57742"
"2025-06-21","59015"
"2025-06-22","37114"
"2025-06-23","57328"
"2025-06-24","65141"
"2025-06-25","59784"
"2025-06-26","64159"
"2025-06-27","58221"
"2025-06-28","51460"
"2025-06-29","27745"
